,SystemName,SchoolName,Cluster,Street,City,Zip_Code,SingleScore,Latitude,Longitude
153,Carroll County,Bay Springs Middle School,M,122 Bay Springs Rd,Villa Rica,30180,68.7,33.68923189795918,-84.93659608163266
154,Carroll County,Mt. Zion Middle School ,M,132 Mount Zion St,Carrollton,30117,75.8,33.6330461,-85.1856133
155,Carroll County,Mt. Zion High School,H,280 Eureka Church Rd,Carrollton,30117,79.8,33.60339568815402,-85.1591112386904
156,Carroll County,Villa Rica Middle School,M,614 Tumlin Lake Rd,Temple,30179,60.7,33.78044895,-84.96993361325508
157,Carroll County,Roopville Elementary School,E,60 Old Carrollton Rd,Roopville,30170,84.5,33.461695381358965,-85.12894408498377
158,Carroll County,Ithica Elementary School,E,75 Whitworth Rd,Villa Rica,30180,76.7,33.67905622448979,-84.94528102040816
159,Carroll County,Glanton-Hindsman Elementary School,E,118 Glanton St,Villa Rica,30180,75.6,33.7286726122449,-84.91358097959183
160,Carroll County,Villa Rica Elementary School,E,314 Peachtree St,Villa Rica,30180,78.6,33.73485614285715,-84.9260232857143
161,Cherokee County,Carmel Elementary School,E,2275 Bascomb Carmel Rd,Woodstock,30189,68.6,34.098322782983644,-84.5688120117132
162,Cherokee County,Woodstock Elementary School,E,230 Rope Mill Rd,Woodstock,30188,81.5,34.11184680941558,-84.52697108768633
163,Cherokee County,Hasty Elementary School Fine Arts Academy,E,205 Brown Industrial Pkwy,Canton,30114,73.3,34.23737619166059,-84.46946801654526
164,Cherokee County,Mill Creek Middle School,M,442 Arnold Mill Rd,Woodstock,30188,79.8,34.119001548890196,-84.48075707777276
165,Cherokee County,River Ridge High School,H,400 Arnold Mill Rd,Woodstock,30188,83.7,34.115698,-84.485765
166,Cherokee County,Indian Knoll Elementary School,E,3635 Univeter Rd,Canton,30115,75.6,34.1990835292809,-84.4571721004277
167,Cherokee County,Etowah High School,H,6565 Putnam Ford Dr,Woodstock,30189,85.9,34.1159955,-84.564328
168,Cherokee County,E. T. Booth Middle School,M,6550 Putnam Ford Dr,Woodstock,30189,75.2,34.11459065,-84.56145244999999
169,Cherokee County,Johnston Elementary School,E,2031 E Cherokee Dr,Woodstock,30188,76.4,34.130618180740406,-84.49317153884772
170,Cherokee County,Dean Rusk Middle School,M,4695 Hickory Rd,Canton,30115,81.6,34.17001796839259,-84.4198641068007
171,Cherokee County,Boston Elementary School,E,105 Othello Dr,Woodstock,30189,85.4,34.12842055973008,-84.59226433596255
172,Cherokee County,Mountain Road Elementary School,E,615 Mountain Rd,Woodstock,30188,90.3,34.14108855325106,-84.40253282807112
173,Cherokee County,Sequoyah High School,H,4485 Hickory Rd,Canton,30115,85.5,34.1708546,-84.42800774156956
174,Cherokee County,Sixes Elementary School,E,20 Ridge Rd,Canton,30114,79.0,34.17353040322999,-84.5556898288299
175,Cherokee County,Woodstock High School,H,2010 Towne Lake Hills S Dr,Woodstock,30189,78.5,34.10485186354572,-84.55108000563241
176,Cherokee County,Liberty Elementary School,E,10500 Bells Ferry Rd,Canton,30114,82.2,34.19350505450976,-84.5363306664511
177,Cherokee County,Freedom Middle School,M,10550 Bells Ferry Rd,Canton,30114,75.5,34.19376655299741,-84.53573848951903
179,Cherokee County,Ball Ground Elementary School STEM Academy,E,321 Valley Street,Ball Ground,30107,81.2,34.332926799999996,-84.38358521009272
180,Cherokee County,Teasley Middle School,M,151 Hickory Log Drive,Canton,30114,71.6,34.2613146,-84.4824746
181,Cherokee County,Woodstock Middle School,M,2000 Towne Lake Hills S Dr,Woodstock,30189,71.0,34.105028,-84.551176
182,Cherokee County,Creekland Middle School,M,1555 Owens Store Rd,Canton,30115,82.7,34.2390178,-84.34334
184,Cherokee County,Little River Elementary School,E,3170 Trickum Rd,Woodstock,30188,73.4,34.105759250000006,-84.47290239192839
185,Cherokee County,Clark Creek Elementary School STEM Academy,E,3219 Hunt Rd,Acworth,30102,78.3,34.09182305454546,-84.64581125454545
186,Cherokee County,Arnold Mill Elementary School,E,710 Arnold Mill Rd,Woodstock,30188,83.7,34.10983707672175,-84.43903139919274
187,Cherokee County,Canton Elementary School,E,712 Marietta Hwy,Canton,30114,58.0,34.2361068,-84.50119396074925
188,Cherokee County,Free Home Elementary School,E,12525 Cumming Hwy,Canton,30115,85.7,34.2372979,-84.4570897
189,Cherokee County,Knox Elementary School STEM Academy,E,151 River Bend Way,Canton,30114,69.7,34.2284031,-84.5332396
190,Clayton County,M. D. Roberts Middle School,M,1905 Walt Stephens Rd,Jonesboro,30236,73.3,33.5224143,-84.3304734
191,Clayton County,Callaway Elementary School,E,120 Oriole Dr,Jonesboro,30238,71.2,33.535405,-84.394841
192,Clayton County,Mundy's Mill High School,H,9652 Fayetteville Rd,Jonesboro,30238,65.2,33.49310876428984,-84.38394120185842
193,Clayton County,Marshall Elementary School,E,5885 Maddox Rd,Morrow,30260,73.5,33.5936346,-84.3183375
194,Clayton County,Jonesboro Middle School,M,1308 Arnold St,Jonesboro,30236,54.6,33.522906,-84.343711
195,Clayton County,Mount Zion Primary School,E,2920 Mount Zion Rd,Jonesboro,30236,46.6,33.55516542097411,-84.29464260053528
196,Clayton County,Elite Scholars Academy School,MH,5968 Maddox Rd,Morrow,30260,96.0,33.5920616,-84.3148828
197,Clayton County,Charles R. Drew High School,H,6237 Garden Walk Blvd,Riverdale,30274,59.9,33.58691385,-84.39631436103406
198,Clayton County,Eddie White Academy,EM,11808 Panhandle Rd,Hampton,30228,59.7,33.43223870135693,-84.36013600846306
199,Clayton County,Morrow Middle School,M,5934 Trammell Rd,Morrow,30260,66.5,33.59396157547805,-84.32119453246436
200,Clayton County,Kilpatrick Elementary School,E,7534 Tara Rd,Jonesboro,30236,61.2,33.54715660784659,-84.35850778103362
201,Clayton County,Mundy's Mill Middle School,M,1251 Mundys Mill Rd,Jonesboro,30238,61.1,33.48822067091775,-84.35128889282166
202,Clayton County,Brown Elementary School,E,9771 Poston Rd,Jonesboro,30238,53.5,33.493498555203416,-84.36362202395328
203,Clayton County,Adamson Middle School,M,3187 Rex Rd,Rex,30273,58.5,33.590595,-84.286886
204,Clayton County,Pointe South Elementary School,E,8482 Thomas Rd,Riverdale,30274,65.6,33.5206378,-84.4085733
205,Clayton County,Lovejoy High School,H,1587 McDonough Rd,Hampton,30228,65.2,33.44889128444444,-84.3389626
206,Clayton County,Lovejoy Middle School,M,1588 Lovejoy Rd,Hampton,30228,54.6,33.441591677842325,-84.3398761265086
207,Clayton County,River's Edge Elementary School,E,205 North Bridge Road,Fayetteville,30215,72.6,33.41925110089588,-84.38921098998503
208,Clayton County,Kendrick Middle School,M,7971 Kendrick Rd,Jonesboro,30238,73.1,33.53668894186046,-84.38576630232558
209,Clayton County,Hawthorne Elementary School,E,10750 English Rd,Hampton,30228,75.8,33.46260091401102,-84.36767506782039
211,Clayton County,Harper Elementary School,E,93 Valley Hill Rd SW,Riverdale,30274,65.4,33.558206,-84.38608
212,Clayton County,Kemp Primary School,E,1090 McDonough Rd,Hampton,30228,46.9,33.4525940230618,-84.35880842700479
213,Clayton County,Rex Mill Middle School,M,6380 Evans Dr,Rex,30273,64.1,33.5799353953839,-84.28187787181459
214,Clayton County,Martha Ellen Stilwell School of the Arts,H,2535 Mount Zion Pkwy,Jonesboro,30236,82.9,33.554315349999996,-84.310372635628
215,Clayton County,Oliver Elementary School,E,1725 Cheryl Leigh Dr,Riverdale,30296,66.8,33.57838365143799,-84.44400051866452
216,Clayton County,Pointe South Middle School,M,8495 Thomas Rd,Jonesboro,30238,54.6,33.497981,-84.403534
217,Clayton County,Mount Zion High School,H,2535 Mount Zion Pkwy,Jonesboro,30236,63.6,33.554315349999996,-84.310372635628
218,Clayton County,Lake Ridge Elementary School,E,7900 Lake Ridge Cir,Riverdale,30296,69.8,33.54018,-84.431233
219,Clayton County,James A. Jackson Elementary School,E,7711 Mount Zion Boulevard,Jonesboro,30236,60.7,33.54553700212297,-84.33735750868155
220,Clayton County,Unidos Dual Language Elementary School ,E,4475 Hendrix Dr,Forest Park,30297,84.2,33.63231565306123,-84.37049073469387
221,Clayton County,Riverdale High School,H,160 Roberts Dr,Riverdale,30274,71.1,33.56384097959184,-84.4060153877551
222,Clayton County,Perry Learning Center,MH,137 Spring St.,Jonesboro,30236,29.9,33.524536999999995,-84.35905393651124
223,Cobb County,Kennesaw Mountain High School,H,1898 Kennesaw Due West Rd NW,Kennesaw,30152,86.6,33.9993278,-84.62176573544617
224,Cobb County,Riverside Intermediate School,E,285 S Gordon Rd SW,Mableton,30126,62.6,33.7938029,-84.5586865
225,Cobb County,Kell High School,H,4770 Lee Waters Rd,Marietta,30066,80.4,34.064215149999995,-84.51313695652908
226,Cobb County,Bullard Elementary School,E,3656 Old Stilesboro Rd NW,Kennesaw,30152,87.5,34.002095249999996,-84.65691936269386
227,Cobb County,McCall Primary School,E,4496 Dixie Ave,Acworth,30101,71.6,34.06456405,-84.68062813512415
228,Cobb County,Pickett's Mill Elementary School,E,6400 Old Stilesboro Rd NW,Acworth,30101,90.1,34.0277383,-84.73562356202436
229,Cobb County,East Side Elementary School,E,3850 Roswell Rd,Marietta,30062,89.5,33.97618055,-84.43867017962866
230,Cobb County,Mableton Elementary School,E,5220 Church St SW,Mableton,30126,71.0,33.82532267346939,-84.58193
231,Cobb County,Birney Elementary School,E,775 Smyrna Powder Springs Rd SW,Marietta,30060,57.2,33.8808547,-84.5683297
232,Cobb County,Mabry Middle School,M,2700 Jims Rd,Marietta,30066,84.7,34.05972654999999,-84.47055298960697
233,Cobb County,Still Elementary School,E,870 Casteel Rd,Powder Springs,30127,71.2,33.93257335,-84.66394357689919
234,Cobb County,Tritt Elementary School,E,4435 Post Oak Tritt Rd,Marietta,30062,84.7,34.0176194,-84.42148601803618
235,Cobb County,Keheley Elementary School,E,1985 Kemp Rd,Marietta,30066,78.1,34.06643827452572,-84.4996013223929
236,Cobb County,Pope High School,H,3001 Hembree Rd NE,Marietta,30062,91.5,34.02384975,-84.45222669427525
237,Cobb County,Baker Elementary School,E,2361 Baker Rd NW,Acworth,30101,78.9,42.204901803017925,-77.85971053364102
238,Cobb County,Dowell Elementary School,E,2121 W Sandtown Rd SW,Marietta,30064,67.5,33.901993,-84.63498
239,Cobb County,Varner Elementary School,E,4761 Gaydon Rd,Powder Springs,30127,72.1,33.89537341381071,-84.69419726062416
240,Cobb County,Hayes Elementary School,E,1501 Kennesaw Due West Rd NW,Kennesaw,30152,69.4,33.990483600000005,-84.6318356697643
241,Cobb County,Vaughan Elementary School,E,5950 Nichols Rd,Powder Springs,30127,80.1,33.96048425,-84.72460672828004
